А.Анаров а/ө Араван р-ну;село
А.Юсупов а/ө Араван р-ну;село
Абдрахманов а/ө Чолпон-Ата р-ну;село
Авлетим  а/ө Аксы р-ну;Авлетим же Афлатун — Жалал-Абад облусунун Аксы районундагы айыл. Авлетим айыл өкмөтүнүн курамына кирет. Итагар суусунун боюнда, Бозбутоонун түндүк-чыгыш этегинде, деңиз деңгээлинен 1110 м бийиктикте жайгашкан. Райондун борбору Кербен кыштагынан 24 км түндүк-чыгыш тарапта. Шамалды-Сай темир жол бекетинен 90 км. 1922-ж. отурукташкан. Калкы 2122 (2009); негизинен дыйканчылыкта, мал чарбасында, токойчулукта эмгектенет. Орто мектеп, оорукана, китепкана, 2 мончо, 4 тегирмен, май чыгаруучу цех, токой чарбасынын кеңсеси, жыгаччылык цехи, 2 ашкана, базар бар. Улуу Ата Мекендик согушта курман болгондорго эстелик тургузулган.
Айдаралиев а/ө Талас р-ну;село
Айдаркен а/ө Кадамжай р-ну;Айдаркен (кырг. Айдаркен) - Кыргыз Республикасынын Баткен облусунун Кадамжай районундагы шаар (2012-жылга чейин шаар тибиндеги шаар). Шаар Алай кырка тоосунун (Эшме кырка тоосунун) түндүк капталында, деңиз деңгээлинен 2000 метр бийиктикте, Кадамжай шаарынан 45 км түштүк-батышта жана Фергана шаарынан түштүк-батышта 83 км аралыкта жайгашкан. Айдаркен кыргыздар жашаган жерде 1942-жылы сымап шахтасындагы айыл катары пайда болгон. Түрк тилдеринде Кан, Кен, Кон - меники, меники; Kirgh. ken - "меники", "меники", "меники"; "Пайдалуу кендер", "руда". Кыргызстандагы сымап рудалары байыркы мезгилден бери белгилүү. Бул орто кылымдагы сымап рудниктеринин эң негизгиси Хайдаркен (Хайдаркан) жана Чаувай болгон. Хайдаркен (Хайдаркан) сымап-сурьма кени (кинабар кени) 1914-жылы ачылган. Ал Испаниядагы сымап-сурьма Альмаден кенинен кийинки дүйнөдөгү эң ири. 1941-1945-жылдардагы Улуу Ата Мекендик согуш учурунда Украин ССРинин Донецк облусунан Никитовский сымап заводунун жабдуулары Хайдаркан сымап-сурьма кенине которулган. Донецк облусу өзүнүн Никитовский сымап заводу менен, ал тынчтык мезгилде ушул эң баалуу стратегиялык чийки заттын жалгыз жеткирүүчүсү болгон, 1941-жылдын аягында басып алынган. 1941-жылы июлда Бирлик айылдык кеңешинин Хайдаркен жана Койташ колхоздоруна таандык 1150 гектар аянтта сымап өндүрүүчү №5 металлургиялык заводдун курулушу башталган. 1942-жылы Хайдаркан сымап заводу "Комбайн № 5" деген ат менен негизделген. Айдаркен, Новое, Чонкой (Чоң-Кой, Улуг-Тоо) жана Чаувай гидротермалдык кендери Хайдаркан сымап заводунун туруктуу иштешин камсыз кылган сымап рудаларынын негизги запастарын түзөт. Чалгындалган запастары болжол менен 20 млн. Тонна руданы түзөт. 1990-жылы Хайдаркан сымап заводу жылына 800 тонна сымап өндүрсө, 2013-жылы 300 тонна сымапты чыгарган. 2006-жылдын 28-декабрындагы № 228 "Кыргыз Республикасынын Баткен областынын Кадамжай районунун айрым айылдык жана поселкалык кеңештеринин, шаар тибиндеги айылдардын жана айылдардын аталыштарын өзгөртүү жөнүндө" Мыйзамы, Хайдаркен шаар тибиндеги айыл деп аталып, ал 2012-жылы шаар статусун алган. 2009-жылы айылда 11,900 адам жашашкан. 2017-жылдын 1-январына карата шаардын калкы 11,400 адамды түзгөн. Шаардын батыш четинде археологиялык табылгалары менен белгилүү көп катмарлуу унаа токтотуучу жай бар Сел-Ункур үңкүрү жайгашкан. 1980-жылдары советтик археологдор тарабынан үңкүрдөн табылган баш сөөктөр (баш сөөктөрү, тиштер (3 үстүңкү жана 3 төмөнкү премоларлар) жана адамдык humerus) археикалык эректоиддик формалардын бирине таандык деп чечмеленди. Анда 1 миллион жылдан ашуун убакыт мурун түзүлгөн комплекстин талаштуу таанышуусу акыркы маалыматтар боюнча тастыкталган жок. Россиялык изилдөөчүлөр тиштер менен хумердердин курамына 126 миң жыл толду
Айдаркен шаары;село
Ак-Башат а/ө Жайыл р-ну;село
Ак-Бешим а/ө Чүй  р-ну;село
Ак-Булак а/ө Түп р-ну;село
Ак-Булун а/ө Ак-Суу р-ну;село
Ак-Булун а/ө Түп р-ну;село
Ак-Дөбө а/ө Аламүдүн р-ну;село
Ак-Дөбө а/ө Бакай-Ата р-ну;село
Ак-Дөбө а/ө Жети-Өгүз р-ну;село
Ак-Жар а/ө Ат-Башы р-ну;село
Ак-Жар а/ө Өзгөн р-ну;село
Ак-Жол а/ө Аксы р-ну;село
Ак-Коргон а/ө Ала-Бука р-ну;село
Ак-Кудук а/ө Нарын р-ну;село
Ак-Кудук а/ө Ыссык-Ата р-ну;село
Ак-Кыя а/ө Кочкор-Ата р-ну;село
Акман а/ө Базар-Коргон р-ну;село
Ак-Моюн а/ө Ат-Башы р-ну;село
Ак-Муз а/ө Ат-Башы р-ну;село
Акназаров а/ө Бакай-Ата р-ну;село
Ак-Сай а/ө Баткен р-ну;село
Ак-Суу а/ө Аксы р-ну;село
Ак-Суу а/ө Лейлек р-ну;село
Ак-Суу а/ө Москва  р-ну;село
Ак-Суу району;село
Аксы району;село
Ак-Тал а/ө Ак-Тала р-ну;село
Ак-Тала району;село
Ак-Талаа а/ө Ат-Башы р-ну;село
Актам а/ө Ала-Бука р-ну;село
Актатыр а/ө Баткен р-ну;село
Ак-Таш а/ө Кара-Суу р-ну;село
Ак-Терек а/ө Тоң р-ну;село
Ак-Туз а/ө Кемин р-ну;село
Ак-Турпак а/ө Кадамжай р-ну;село
Ак-Чий а/ө Ак-Суу р-ну;село
Ак-Чий а/ө Ак-Тала р-ну;село
Ак-Чий а/ө Кара-Буура р-ну;село
Ак-Шайыр а/ө Жети-Өгүз р-ну;село
Ала-Арча а/ө Аламүдүн р-ну;село
Ала-Бука а/ө Ала-Бука р-ну;село
Ала-Бука району;село
Алай а/ө Алай р-ну;село
Алай району;село
Алайкуу а/ө Кара-Кулжа р-ну;село
Аламүдүн а/ө Аламүдүн р-ну;село
Аламүдүн району;село
Алга а/ө Кадамжай р-ну;село
Александровка а/ө Москва  р-ну;село
Алмалуу а/ө Кемин р-ну;село
Алтын-Булак а/ө Өзгөн р-ну;село
Аманбаев а/ө Кара-Буура р-ну;село
Ананьево а/ө Чолпон-Ата р-ну;село
Араван району;село
Арал а/ө Ноокен р-ну;село
Арал а/ө Талас р-ну;село
Арал а/ө Түп р-ну;село
Арашан а/ө Аламүдүн р-ну;село
Арстанбап а/ө Базар-Коргон р-ну;село
Арча-Кайынды а/ө Ат-Башы р-ну;село
Асылбаш а/ө Сокулук р-ну;село
Атабеков а/ө Сузак р-ну;село
Атай а/ө Тогуз-Торо р-ну;село
Ат-Башы а/ө Ат-Башы р-ну;село
Ат-Башы а/ө Сокулук р-ну;село
Ат-Башы району;село
Багыш а/ө Сузак р-ну;село
Баетов а/ө Ак-Тала р-ну;село
Базар-Коргон а/ө Базар-Коргон р-ну;село
Базар-Коргон району;село
Байзак а/ө Жумгал р-ну;село
Байтик а/ө Аламүдүн р-ну;село
Бакай-Ата а/ө Бакай-Ата р-ну;село
Бакай-Ата району;село
Бакайыр а/ө Кара-Буура р-ну;село
Бакыян а/ө Кара-Буура р-ну;село
Балтагулов  а/ө Ала-Бука р-ну;село
Балыкчы шаары;село
Барпы а/ө Сузак р-ну;село
Барскоон а/ө Жети-Өгүз р-ну;село
Баткен облусу;село
Баткен району;село
Баткен шаары;село
Баш-Дөбө а/ө Өзгөн р-ну;село
Баш-Кайынды а/ө Ат-Башы р-ну;село
Баш-Кууганды а/ө Жумгал р-ну;село
Бейшеке а/ө Кара-Буура р-ну;село
Бекмолдо а/ө Талас р-ну;село
Бел а/ө Ноокат р-ну;село
Бел-Алды а/ө Токтогул р-ну;село
Беловодск а/ө Москва  р-ну;село
Бердике-Баатыр а/ө Талас р-ну;село
Бешик-Жон а/ө Базар-Коргон р-ну;село
Бешкент а/ө Лейлек р-ну;село
Беш-Терек а/ө Москва  р-ну;село
Бирдик а/ө Ыссык-Ата р-ну;село
Биринчи-Май а/ө Ала-Бука р-ну;село
Бирлик а/ө Кадамжай р-ну;село
Бишкек шаары;село
Боз-Учук а/ө Ак-Суу р-ну;село
Болот Мамбеков а/ө Тоң р-ну;село
Боо-Терек а/ө Бакай-Ата р-ну;село
Боролдой а/ө Кемин р-ну;село
Борү-Баш а/ө Ак-Суу р-ну;село
Бостери а/ө Чолпон-Ата р-ну;село
Будалык а/ө Алай р-ну;село
Бурана а/ө Чүй  р-ну;село
Бүлөлү а/ө Алай р-ну;село
Бүргөндү а/ө Ноокен р-ну;село
Васильевка а/ө Аламүдүн р-ну;село
Воено-Антоновка а/ө Сокулук р-ну;село
Вознесеновка а/ө Панфилов  р-ну;село
Гавриловка а/ө Сокулук р-ну;село
Гроздненский а/ө Аламүдүн р-ну;село
Гүлистан а/ө Ноокат р-ну;село
Гүлчө а/ө Алай р-ну;село
Дара а/ө Баткен р-ну;село
Дархан а/ө Жети-Өгүз р-ну;село
Долоно а/ө Талас р-ну;село
Достук а/ө  Ноокен р-ну;село
